Timepoint,Chromosome number,Enhancer,Coding gene,Image number,Nucleus number,Sense enhancer spot number,Anti-sense enhancer spot number,Overlapped enhancer number
6,20,S+AS (separate),None,2,77,2,0,0
6,20,S+AS (separate),None,2,78,1,0,0
6,20,S+AS (separate),None,2,79,4,0,0
6,20,S+AS (separate),None,2,80,3,0,0
6,20,S+AS (separate),None,2,81,4,0,0
6,20,S+AS (separate),None,2,82,3,0,0
6,20,S+AS (separate),None,2,83,0,0,0
6,20,S+AS (separate),None,2,84,2,0,0
6,20,S+AS (separate),None,2,85,2,0,0
6,20,S+AS (separate),None,2,86,2,0,0
6,20,S+AS (separate),None,2,87,2,0,0
6,20,S+AS (separate),None,2,88,1,1,0
6,20,S+AS (separate),None,2,89,0,0,0
6,20,S+AS (separate),None,2,90,3,0,0
6,20,S+AS (separate),None,2,91,2,0,0
6,20,S+AS (separate),None,2,92,0,0,0
6,20,S+AS (separate),None,2,93,0,0,0
6,20,S+AS (separate),None,2,94,1,0,0
6,20,S+AS (separate),None,2,95,3,0,0
6,20,S+AS (separate),None,2,96,1,0,0
6,20,S+AS (separate),None,2,97,2,0,0
6,20,S+AS (separate),None,2,98,3,0,0
6,20,S+AS (separate),None,2,99,2,0,0
6,20,S+AS (separate),None,2,100,0,0,0
24,20,S+AS (separate),None,1,1,2,0,0
24,20,S+AS (separate),None,1,2,1,0,0
24,20,S+AS (separate),None,1,3,7,0,0
24,20,S+AS (separate),None,1,4,4,0,0
24,20,S+AS (separate),None,1,5,4,0,0
24,20,S+AS (separate),None,1,6,4,0,0
24,20,S+AS (separate),None,1,7,0,0,0
24,20,S+AS (separate),None,1,8,4,0,0
24,20,S+AS (separate),None,1,9,6,0,0
24,20,S+AS (separate),None,1,10,3,0,0
24,20,S+AS (separate),None,1,11,4,0,0
24,20,S+AS (separate),None,1,12,2,0,0
24,20,S+AS (separate),None,1,13,6,0,0
24,20,S+AS (separate),None,1,14,5,0,0
24,20,S+AS (separate),None,1,15,2,0,0
24,20,S+AS (separate),None,1,16,2,0,0
24,20,S+AS (separate),None,1,17,4,0,0
24,20,S+AS (separate),None,1,18,0,0,0
24,20,S+AS (separate),None,1,19,9,0,0
24,20,S+AS (separate),None,1,20,3,0,0
24,20,S+AS (separate),None,1,21,4,0,0
24,20,S+AS (separate),None,1,22,3,0,0
24,20,S+AS (separate),None,1,23,2,0,0
24,20,S+AS (separate),None,1,24,9,0,0
24,20,S+AS (separate),None,1,25,2,0,0
24,20,S+AS (separate),None,1,26,3,0,0
24,20,S+AS (separate),None,1,27,3,0,0
24,20,S+AS (separate),None,1,28,2,0,0
24,20,S+AS (separate),None,1,29,6,0,0
24,20,S+AS (separate),None,1,30,4,0,0
24,20,S+AS (separate),None,1,31,1,0,0
24,20,S+AS (separate),None,1,32,3,0,0
24,20,S+AS (separate),None,1,33,8,0,0
24,20,S+AS (separate),None,1,34,1,0,0
24,20,S+AS (separate),None,1,35,1,0,0
24,20,S+AS (separate),None,1,36,2,0,0
24,20,S+AS (separate),None,1,37,3,0,0
24,20,S+AS (separate),None,1,38,4,0,0
24,20,S+AS (separate),None,1,39,2,0,0
24,20,S+AS (separate),None,1,40,3,0,0
24,20,S+AS (separate),None,1,41,4,0,0
24,20,S+AS (separate),None,1,42,3,0,0
24,20,S+AS (separate),None,1,43,0,0,0
24,20,S+AS (separate),None,1,44,1,0,0
24,20,S+AS (separate),None,1,45,1,0,0
24,20,S+AS (separate),None,1,46,3,0,0
24,20,S+AS (separate),None,1,47,0,0,0
24,20,S+AS (separate),None,1,48,1,0,0
24,20,S+AS (separate),None,2,49,6,0,0
24,20,S+AS (separate),None,2,50,6,0,0
24,20,S+AS (separate),None,2,51,5,0,0
24,20,S+AS (separate),None,2,52,4,0,0
24,20,S+AS (separate),None,2,53,2,0,0
24,20,S+AS (separate),None,2,54,2,0,0
24,20,S+AS (separate),None,2,55,6,0,0
24,20,S+AS (separate),None,2,56,4,0,0
24,20,S+AS (separate),None,2,57,1,0,0
24,20,S+AS (separate),None,2,58,7,0,0
24,20,S+AS (separate),None,2,59,7,0,0
24,20,S+AS (separate),None,2,60,3,0,0
24,20,S+AS (separate),None,2,61,3,0,0
24,20,S+AS (separate),None,2,62,4,0,0
24,20,S+AS (separate),None,2,63,3,0,0
24,20,S+AS (separate),None,2,64,5,0,0
24,20,S+AS (separate),None,2,65,0,0,0
24,20,S+AS (separate),None,2,66,1,0,0
24,20,S+AS (separate),None,2,67,1,0,0
24,20,S+AS (separate),None,2,68,0,0,0
24,20,S+AS (separate),None,2,69,2,0,0
24,20,S+AS (separate),None,2,70,3,0,0
24,20,S+AS (separate),None,2,71,2,0,0
